ticker,start,end,years,dip,dca_net_return,dip_net_return,net_return_diff,winner,dca_final_value,dip_final_value,dca_cagr,dip_cagr,dca_max_dd,dip_max_dd,dip_max_wait_months,inst
^GSPC,2015-01-01,2025-01-01,10,0.05,0.9340261226876532,0.8747832638740559,-0.059242858813597254,DCA,232083.13472251839,224973.9916648867,0.06877787965060533,0.06543007619957941,-0.19534237266575918,-0.1888079961378491,24,S&P 500
^GSPC,2015-01-01,2025-01-01,10,0.1,0.9340261226876532,0.8535280288104322,-0.08049809387722096,DCA,232083.13472251839,222423.36345725186,0.06877787965060533,0.06420572638085309,-0.19534237266575918,-0.17275418082205699,47,S&P 500
^GSPC,2015-01-01,2025-01-01,10,0.2,0.9340261226876532,0.8103256694052752,-0.123700453282378,DCA,232083.13472251839,217239.08032863302,0.06877787965060533,0.06167776459517316,-0.19534237266575918,-0.15455429727890616,62,S&P 500
^GSPC,1995-01-01,2025-01-01,30,0.05,3.242348219896589,2.9882876678398973,-0.25406055205669187,DCA,1527245.359162772,1435783.560422363,0.04949072306202984,0.04732655216721304,-0.482158097718319,-0.47718657590928576,31,S&P 500
^GSPC,1995-01-01,2025-01-01,30,0.1,3.242348219896589,2.898375986091409,-0.34397223380518005,DCA,1527245.359162772,1403415.3549929073,0.04949072306202984,0.04652859879807192,-0.482158097718319,-0.47324486240792457,76,S&P 500
^GSPC,1995-01-01,2025-01-01,30,0.2,3.242348219896589,2.7983748206299666,-0.4439733992666226,DCA,1527245.359162772,1367414.935426788,0.04949072306202984,0.045619933707827576,-0.482158097718319,-0.4522772244555264,101,S&P 500
^NDX,2015-01-01,2025-01-01,10,0.05,1.650456356939464,1.5397673046760223,-0.11068905226344161,DCA,318054.76283273567,304772.07656112267,0.10328708399683006,0.09855109203599488,-0.29080393233729446,-0.2881353704197429,20,Nasdaq 100
^NDX,2015-01-01,2025-01-01,10,0.1,1.650456356939464,1.3380049905272957,-0.3124513664121682,DCA,318054.76283273567,280560.5988632755,0.10328708399683006,0.08941948673123146,-0.29080393233729446,-0.2716629602588627,47,Nasdaq 100
^NDX,2015-01-01,2025-01-01,10,0.2,1.650456356939464,0.5297706979558563,-1.1206856589836076,DCA,318054.76283273567,183572.48375470276,0.10328708399683006,0.04380194852118269,-0.29080393233729446,-0.13203409485206336,87,Nasdaq 100
^NDX,1995-01-01,2025-01-01,30,0.05,9.635216176792555,9.22251948614709,-0.41269669064546477,DCA,3828677.8236453203,3680107.015012953,0.08223209068837689,0.08080131037594862,-0.7608522167482935,-0.7537050109098801,20,Nasdaq 100
^NDX,1995-01-01,2025-01-01,30,0.1,9.635216176792555,8.728398758210854,-0.9068174185817011,DCA,3828677.8236453203,3502223.552955908,0.08223209068837689,0.07901291069409977,-0.7608522167482935,-0.7452985273750969,52,Nasdaq 100
^NDX,1995-01-01,2025-01-01,30,0.2,9.635216176792555,6.249346021273719,-3.3858701555188366,DCA,3828677.8236453203,2609764.567658539,0.08223209068837689,0.06845607159556355,-0.7608522167482935,-0.6262146883638997,100,Nasdaq 100
GLD,2015-01-01,2025-01-01,10,0.05,0.6895043414522299,0.6684272137097277,-0.021077127742502255,DCA,202740.5209742676,200211.26564516732,0.0543085340458922,0.05297467505975484,-0.1046405529740288,-0.10318697008440995,18,Gold
GLD,2015-01-01,2025-01-01,10,0.1,0.6895043414522299,0.6454733468789302,-0.04403099457329973,DCA,202740.5209742676,197456.80162547162,0.0543085340458922,0.051504700858640895,-0.1046405529740288,-0.10058753093244885,25,Gold
GLD,2015-01-01,2025-01-01,10,0.2,0.6895043414522299,0.0,-0.6895043414522299,DCA,202740.5209742676,120000.0,0.0543085340458922,0.0,-0.1046405529740288,0.0,120,Gold
GLD,1995-01-01,2025-01-01,30,0.05,1.228973489781371,1.1545794310797,-0.07439405870167115,DCA,539411.5845270918,521408.2223212874,0.04071471489223244,0.038957279607455764,-0.2717424571657884,-0.26935674888695377,16,Gold
GLD,1995-01-01,2025-01-01,30,0.1,1.228973489781371,0.9305678101872642,-0.2984056795941069,DCA,539411.5845270918,467197.41006531793,0.04071471489223244,0.03329396182606814,-0.2717424571657884,-0.25812839522756564,45,Gold
GLD,1995-01-01,2025-01-01,30,0.2,1.228973489781371,0.9866612971168296,-0.24231219266454151,DCA,539411.5845270918,480772.03390227276,0.04071471489223244,0.03476850547600896,-0.2717424571657884,-0.2003926053813515,61,Gold
SLV,2015-01-01,2025-01-01,10,0.05,0.47384100958137715,0.483245130570342,0.00940412098896487,DIP,176860.92114976526,177989.41566844104,0.03988882685815032,0.040556023217294346,-0.2633038608191087,-0.2636507470600184,3,Silver
SLV,2015-01-01,2025-01-01,10,0.1,0.47384100958137715,0.49921456672539255,0.025373557144015402,DIP,176860.92114976526,179905.7480070471,0.03988882685815032,0.04168034574717927,-0.2633038608191087,-0.2624287860331599,8,Silver
SLV,2015-01-01,2025-01-01,10,0.2,0.47384100958137715,0.5666489669512446,0.09280795736986741,DIP,176860.92114976526,187997.87603414935,0.03988882685815032,0.04631234809388829,-0.2633038608191087,-0.24559959377098714,16,Silver
SLV,1995-01-01,2025-01-01,30,0.05,0.4767019541630405,0.4708245565732377,-0.005877397589802824,DCA,332257.9396866841,330935.5252289785,0.021096059448539428,0.020877995438498553,-0.5433262021129583,-0.5397396666880325,6,Silver
SLV,1995-01-01,2025-01-01,30,0.1,0.4767019541630405,0.47370090731659464,-0.003001046846445865,DCA,332257.9396866841,331582.7041462338,0.021096059448539428,0.020984817037816406,-0.5433262021129583,-0.5369680405970666,9,Silver
