date,action,cash_in,shares_bought,price,shares,cash,total_value
1996-08-31,buy,1000.0,85.54634987087802,11.689569473266602,2433.526045422938,0.0,28446.871772975166
1996-09-30,buy,1000.0,83.87437113778917,11.922593116760254,2517.400416560727,0.0,30013.940878616322
1996-10-31,buy,1000.0,84.4972043404482,11.834711074829102,2601.8976209011753,0.0,30792.706589650632
1996-11-30,buy,1000.0,83.26111540686682,12.010408401489258,2685.158736308042,0.0,32249.853045886386
1996-12-31,buy,1000.0,80.8879019677285,12.362788200378418,2766.0466382757704,0.0,34196.048741372084
1997-01-31,buy,1000.0,73.55035979196121,13.596126556396484,2839.5969980677314,0.0,38607.52015489242
1997-02-28,buy,1000.0,69.78237529442401,14.330265998840332,2909.3793733621555,0.0,41692.18031181909
1997-03-31,buy,1000.0,76.18137598076866,13.126567840576172,2985.5607493429243,0.0,39190.16571841133
1997-04-30,buy,1000.0,66.75228504170936,14.98076057434082,3052.3130343846337,0.0,45725.970766055914
1997-05-31,buy,1000.0,62.001672179497945,16.128597259521484,3114.3147065641315,0.0,50229.527641577704
1997-06-30,buy,1000.0,62.32967577483814,16.04372215270996,3176.6443823389695,0.0,50965.19984821338
1997-07-31,buy,1000.0,61.315300008607494,16.30914306640625,3237.959682347577,0.0,52808.34770266197
1997-08-31,buy,1000.0,73.95278352983178,13.522141456604004,3311.912465877409,0.0,44784.148855484505
1997-09-30,buy,1000.0,69.31340283913826,14.427224159240723,3381.225868716547,0.0,48781.70354099707
1997-10-31,buy,1000.0,74.66880181886711,13.392474174499512,3455.894670535414,0.0,46282.98012493603
1997-11-30,buy,1000.0,67.50224765870762,14.814321517944336,3523.396918194122,0.0,52196.73478146194
1997-12-31,buy,1000.0,63.26355339228856,15.806889533996582,3586.6604715864105,0.0,56693.94587031848
1998-01-31,buy,1000.0,65.15658506061888,15.34764289855957,3651.8170566470294,0.0,56046.78411628749
1998-02-28,buy,1000.0,61.47744360549597,16.266128540039062,3713.2945002525253,0.0,60400.92564812769
1998-03-31,buy,1000.0,54.36869121309043,18.3929386138916,3767.663191465616,0.0,69298.39779844599
1998-04-30,buy,1000.0,55.48829707778583,18.021818161010742,3823.1514885434017,0.0,68900.14092852673
1998-05-31,buy,1000.0,53.718346510835154,18.61561393737793,3876.869835054237,0.0,72170.31213483572
1998-06-30,buy,1000.0,49.15090178453825,20.34550666809082,3926.020736838775,0.0,79876.88108041613
1998-07-31,buy,1000.0,52.203749635322126,19.155712127685547,3978.2244864740974,0.0,76205.72304220748
1998-08-31,buy,1000.0,64.5282541883094,15.497087478637695,4042.7527406624067,0.0,62650.89287654761
1998-09-30,buy,1000.0,72.74701614894457,13.746268272399902,4115.499756811351,0.0,56572.76373212539
1998-10-31,buy,1000.0,62.046974528323325,16.1168212890625,4177.546731339675,0.0,67328.77409570874
1998-11-30,buy,1000.0,59.71053564867763,16.74746322631836,4237.257266988352,0.0,70963.31025933765
1998-12-31,buy,1000.0,62.43982749397024,16.015419006347656,4299.697094482322,0.0,68861.45056850999
1999-01-31,buy,1000.0,64.05314174534573,15.61203670501709,4363.750236227668,0.0,68127.02885951335
1999-02-28,buy,1000.0,65.4946360439235,15.268425941467285,4429.244872271592,0.0,67627.59730890252
